"Search_Category","Tweeter_Hashtag","Tweeter_Handle","Tweet_Message","Tweet_Datetime","Tweet_Location","Tweet_RetweetCount","Tweet_FavoriteCount"
"Windows10 vs OSXElCapitan","#Windows10","webcarenet","Windows 10 Mobile Build 10149 Visual Tour of New Features #Windows10 #Microsoft #Webcare #NewOS http://t.co/rlDDwTPWqY","2015-10-17 02:33:30","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","webcarenet","Windows 10 Mobile Build 10149 Visual Tour of New Features #Windows10 #Microsoft #Webcare #NewOS http://t.co/hjMTApbBVO","2015-10-17 02:33:30","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","webcarenet","Windows 10 Mobile Build 10149 Visual Tour of New Features #Windows10 #Microsoft #Webcare #NewOS http://t.co/qtkvdOzIZD","2015-10-17 02:33:30","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","webcarenet","Windows 10 Mobile Build 10149 Visual Tour of New Features #Windows10 #Microsoft #Webcare #NewOS http://t.co/2ClvO5MXCo","2015-10-17 02:33:30","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","webcarenet","Windows 10 Mobile Build 10149 Visual Tour of New Features #Windows10 #Microsoft #Webcare #NewOS http://t.co/6WWVkQ5INR","2015-10-17 02:33:30","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","BCredos","@PanguTeam Is that normal that my Jailbreak is always stuck at the Backup Process?

#ParallelsDesktop #Pangu101 #Windows10 #OSXElCapitan","2015-10-16 03:05:51","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","techkookies","Best of both worlds!
#OSXElCapitan #windows10 https://t.co/Sp85plA4er","2015-10-13 12:12:10","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","thenameishopper","I never thought id say this but #Windows10 runs better on my macbook than Mac #OSXElCapitan","2015-10-12 20:42:55","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","_Ashbasher","Macdows. 
The best of both worlds. 

#Mac #Windows #Macdows #OSXElCapitan #Windows10 #ParalellsDesktop11 https://t.co/RTbAD3NnMB","2015-10-10 22:01:01","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","eclipse_teck","Que opinan??? #OSXELCAPITAN o #Windows10 ??? Particularmente prefiero #Windows10","2015-10-10 20:21:29","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","alexrchies","I'm already a next year man. My devices are all updated to #androidmarshmallow, #OSXElCapitan and #Windows10","2015-10-09 07:37:50","","0","0"
"Windows10 vs OSXElCapitan","#Windows10 #OSXElCapitan","alexvain77","Windows 10 è un Capolavoro. 
El Capitan è Unico. #Windows10 #OSXElCapitan","2015-10-08 12:53:04","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","h_x_m","ダウンロードに40分かかってやれやれって感じでさぁインストールはサクッとな！と思ってたらさらに30分って…今回はボリューミーなOSだな〜 #OSXElCapitan","2015-10-17 02:33:30","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","iOSdigest","#Apple Updated #iWork For #iOS And OS X EL Capitan via @CsharpCorner http://t.co/JAd9WgZGvl #OSXElCapitan","2015-10-17 01:14:52","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","GeneHarrisOK","My mac mini is now officially a home server.  No monitor, no keyboard, no mouse.  Just screen sharing. #OSXElCapitan #macmini","2015-10-17 00:52:36","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","luisrzuniga","WiFi woes continue with El Capitan. Some possible fixes. 

http://t.co/BTh97QtFDW

#wifi #OSXElCapitan #osx","2015-10-16 23:30:27","","1","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","blodico","OS X El Capitan 10.11.1 llega a su cuarta beta para desarrolladores y beta teste #OSXElCapitan #Capitan http://t.co/DnuRIbaDCZ #followme","2015-10-16 23:30:03","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","LisaXChristine","When you want to work on some compositions but your computer is taking forever to install updates...

#OSXElCapitan 
#pleasebeworthit
#womp","2015-10-16 23:26:28","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","moyinoluwa_mm","iOS 9 And OS X El Capitan Public Betas Are Now Available For Public Download - OS X El Capitan... http://t.co/OBB02rxoLi #iOS9 #OSXElCapitan","2015-10-16 23:13:13","","0","0"
"Windows10 vs OSXElCapitan","#OSXElCapitan","idtheftprotect","Microsoft Office for Mac 2011 14.5.6 update fixes #OSXElCapitan account sync issue.14.5.6 is working for us. https://t.co/sw5RjYANGK","2015-10-16 21:42:22","","0","0"
