"Search_Category","Tweeter_Hashtag","Tweeter_Handle","Tweet_Message","Tweet_Datetime","Tweet_Location","Tweet_RetweetCount","Tweet_FavoriteCount"
"Windows10 vs OSXElCapitan","#Windows10","WPUC1","#youtube  AllTube Player updated to version 4.1.0 #windows10 http://t.co/kMYe7QFLbG","2015-10-17 06:17:21","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","moyinoluwa_mm","Microsoft Edge changelog for Windows Insider Preview... http://t.co/mUmyRFyIKy #Build10565 #Download #Microsoft #MicrosoftEdge #WINDOWS10","2015-10-17 06:17:11","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","DigitalCitizenL","How you can be the next geek of your generation http://t.co/hPvG0rEAYU #Windows10","2015-10-17 06:14:02","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","kaskerr","I cant wait for the update!!! #windows10","2015-10-17 06:12:47","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","goodsolitaire","Suggested apps start showing up in #Windows10 build 10565 Start Menu http://t.co/rubtyksjhM via @WinBetaDotOrg","2015-10-17 06:07:01","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","visitandtravel","#windows10 Security patches failing yet continue to download all the time, had to switch network settings to METERED to stop downloads","2015-10-17 06:01:05","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","rogerespadas","How To Make #Windows10 Faster http://t.co/fneDBGFsGR

#edtechchat","2015-10-17 06:00:50","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","visitandtravel","#windows10 I now wish I had stayed with 8.1 as security updates are failing, they continue to ""download"" but not install properly ...","2015-10-17 05:58:59","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","henrysau","Join us for the first ever #ictam OS review at #mhub all for free representing #windows10 is yours truly so excited 😃","2015-10-17 05:57:22","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","foreverjola","The one time I don't follow my rule of waiting to upgrade. Free my ass. #Windows10","2015-10-17 05:54:53","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","CraigItsFryday","@unity3d and #Windows10 are my nemesis right now. #upgradeBlues","2015-10-17 05:54:19","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","jjones235","You can disable #App suggestions in #Windows10, any way to do that on #iOS #Android or #OSX. Ads don't bother, just wondering about #options","2015-10-17 05:50:29","","0","1"
"Windows10 vs OSXElCapitan","#Windows10","tdbeadles","You're all invited! (#Microsoft #Windows10 #DELL #Intel #McAfee #Google #Apple #ATT #Comcast #Logitech #USA) (http://t.co/AeWedaQhAX)","2015-10-17 05:44:25","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","Rena080Leo","PISSOFF #Windows10 I don't give a shit that you are free. I don't like you nor what to download you on my PC. #Rage #hate","2015-10-17 05:42:40","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","JeyanthMandava","Planning to #bootcamp to #windows10 ! Strictly for #gaming ;)","2015-10-17 05:39:23","","1","0"
"Windows10 vs OSXElCapitan","#Windows10","tfeck_ME","@50NerdsofGrey #Windows10 - My biggest regret of last week","2015-10-17 05:36:05","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","codeflowerUX","#windows10 #build1065 This is how Cortana will handle your calls and SMS on all of Windows 10 - Pocketnow https://t.co/FpyhaS2v2d","2015-10-17 05:21:17","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","Yarasbaby","I hattteee windows 10!!!!!!!!! #Windows10","2015-10-17 05:12:25","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","HLHeath","#Windows10? You've been warned.

http://t.co/SgMv31EPSE","2015-10-17 05:09:31","","0","0"
"Windows10 vs OSXElCapitan","#Windows10","theordinaryman2","this would be like trading in your #RollsRoyce &amp; getting a skoda in return...

#apple #Windows10 #Microsoft  https://t.co/y4NY52sZiz","2015-10-17 05:08:21","","0","2"
"Windows10 vs OSXElCapitan","#Windows10","uyauya263","When #Microsoft made #windows10 they didn't really consider people like me who had fallen in love with the flexibility of 8.1","2015-10-17 05:04:25","","0","0"
